Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
Cabal,Dutch,,01.01.1990,01.08.1996,AMIGA OCS/ECS,"Cabal 1, Cabal 2",
Cactus,,,09.09.1991,01.01.1994,AMIGA OCS/ECS,"Cactus 1, Cactus 3",
Cactus Scenest Party Edition,,,01.01.1994,01.04.1996,AMIGA AGA,Cactus Scenest Party Edition,
cactus2,,,01.12.1993,01.12.1993,AMIGA OCS/ECS,cactus2,
cactus3,,,01.01.1994,01.01.1994,AMIGA OCS/ECS,cactus3,
Caesar Deluxe Review,,,28.07.1993,28.07.1993,MS-DOS,Caesar Deluxe Review,
cafe photo album,Russian,Russia,01.06.2003,01.06.2003,ZX Spectrum,cafe photo album #2003,
CAFe'2003,Russian,Russia,,,ZX Spectrum,,
Calling Cards,,,,,Commodore 64,Calling Cards,
Cancer,Russian,Russia,,,ZX Spectrum,"Cancer #01, Cancer #02",
Candlelight,,,,,Commodore 64,Candlelight #3,
Canid Productions magazine,,,08.10.1998,08.10.1998,MS-DOS,Canid Productions magazine #1,
Cannon Fodder Review,,,14.03.1994,14.03.1994,MS-DOS,Cannon Fodder Review,
Capitalism Plus Review,,,22.05.1997,22.05.1997,MS-DOS,Capitalism Plus Review,
Carma,English,,,,Commodore 64,Carma 01,
Carma 01,,,,,Commodore 64,Carma 01,
Casino Tournament Of Champions Review,,,20.04.1995,20.04.1995,MS-DOS,Casino Tournament Of Champions Review,
Castles Complete Game Documentation,,,03.07.1991,03.07.1991,MS-DOS,Castles Complete Game Documentation,
Catch 'Em Review,,,27.06.1994,27.06.1994,MS-DOS,Catch 'Em Review,
Caustic Verses,,,27.06.1994,01.01.1996,MS-DOS,Caustic Verses 1,
CCA Clubdisk,,,01.01.1991,01.01.1991,Commodore 64,CCA Clubdisk 4,
CCA Clubdisk 4,,,01.01.1991,01.01.1991,Commodore 64,CCA Clubdisk 4,
CCB Club-Mag 01 /,,,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 01 / 92,
CCB Club-Mag 02 /,,,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 02 / 92,
CCB Club-Mag 03 /,,,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 03 / 92,
CCB Club-Mag 04 /,,,01.01.1991,01.01.1992,ATARI 8 BIT,"CCB Club-Mag 04 / 91, CCB Club-Mag 04 / 92",
CCB Club-Mag 05 /,,,01.01.1991,01.01.1991,ATARI 8 BIT,CCB Club-Mag 05 / 91,
CCCP,English,,,,Commodore 64,CCCP #1 (1990)(Lazer),
CCCP#0 Preview,,,01.01.1991,01.01.1991,Commodore 64,CCCP#0 Preview,
CD Ultra,,,,,MS-DOS,CD Ultra,
Ceibe,,,01.01.1991,01.01.1991,MS-DOS,"Ceibe 1, Ceibe 2, Ceibe 3",
ceibe#1,,,01.06.1999,01.06.1999,MS-DOS,ceibe#1,
ceibe#2,,,01.11.1999,01.11.1999,MS-DOS,ceibe#2,
ceibe#3,,,01.05.2000,01.05.2000,MS-DOS,ceibe#3,
Cemetery News,English,,01.01.1990,01.02.1994,"AMIGA OCS/ECS, Commodore 64","Cemetery News #1, Cemetery News #4, Cemetery News 1, Cemetery News 2, Cemetery News 3",
CFX News,,,01.10.1998,01.10.1998,"MS-Dos/gus, MS-DOS",CFX News #34,
CGR Issue,,,02.05.1993,02.05.1993,MS-DOS,CGR Issue #1,
Change,,,02.05.1993,02.05.1993,AMIGA OCS/ECS,"Change 1, Change 2, Change 3",
Channel,English,,02.05.1993,01.01.1998,"Commodore 64, MS-Dos/gus, MS-DOS","Channel #1, Channel #2, Channel #2 100%, Channel #3, Channel #4, Channel #5, Channel #6, Channel 1 #1 (1996 02 10)(Channel 1 Staff Raiders of the Lost Empire), Channel 1 #2 (1996 04 06)(Raiders of the Lost Empire), Channel 1 #4 (1997 08 01)(Channel 1 Staff Raiders of the Lost Empire), Channel 1 #4 WP (1997 07 20)(Channel 1 Staff Raiders of the Lost Empire), Channel 1 #5 (1997 09 16)(Raiders of the Lost Empire), Channel 1 #6 (1998 02 08)(Raiders of the Lost Empire)",
Channel 1,,,01.01.1996,01.01.1998,Commodore 64,"Channel 1 #1, Channel 1 #2, Channel 1 #3, Channel 1 #4, Channel 1 #4 WP, Channel 1 #5, Channel 1 #6",
Channel II,English,,01.01.1998,01.01.1998,Commodore 64,"Channel II #1, Channel II #2, Channel II #3",
Chaos,,,02.05.1993,01.06.2003,WINDOWS,"Chaos 0, Chaos 1",
Chaos,English,,01.01.1994,01.01.1997,Commodore 64,"Chaos #01, Chaos #02, Chaos #1, Chaos #2, Chaos #3",
Chaos,Russian,Russia,01.08.1997,01.08.1997,ZX Spectrum,Chaos #01,
Chaos Chronicle,English,,01.01.1990,01.01.1990,Commodore 64,"Chaos Chronicle #1, Chaos Chronicle #2, Chaos Chronicle #3, Chaos Chronicle #4 (1990)(INC), Chaos Chronicle #5, Chaos Chronicle Edition 4",
Chaotic Country,English,,01.01.1993,01.02.1997,Commodore 64,"Chaotic Country #02 (1995 03 31)(Therapy)(Side A), Chaotic Country #05 (1997 01)(Therapy)(Side A), Chaotic Country #08 (19xx)(Therapy)(Side A), Chaotic Country #1 [hungarian], Chaotic Country #10 [hungarian], Chaotic Country #11 [hungarian], Chaotic Country #12 [hungarian], Chaotic Country #13 [hungarian], Chaotic Country #14 [hungarian], Chaotic Country #15 (1996 02 01)(Therapy)(Side A), Chaotic Country #15 [hungarian], Chaotic Country #16 [hungarian], Chaotic Country #17 [hungarian], Chaotic Country #18 [hungarian], Chaotic Country #19 (1996 10 11)(Therapy)(Side A), Chaotic Country #19 [hungarian], Chaotic Country #2 [hungarian], Chaotic Country #20 [hungarian], Chaotic Country #21 (1997)(Therapy)(Side A), Chaotic Country #21 [hungarian], Chaotic Country #3 [hungarian], Chaotic Country #4 [hungarian], Chaotic Country #5 [hungarian], Chaotic Country #6 [hungarian], Chaotic Country #7 [hungarian], Chaotic Country #8 [hungarian], Chaotic Country #9 [hungarian]",
Chaotic Country Choice,,,01.01.1994,01.01.1997,Commodore 64,"Chaotic Country Choice #1, Chaotic Country Choice #2, Chaotic Country Choice #3, Chaotic Country Choice #4, Chaotic Country Choice #5",
Charisma  No.,,,01.09.1995,01.09.1995,AMIGA OCS/ECS,Charisma Issue No. 1,
Charisma Issue No.,,,01.09.1995,20.04.1996,AMIGA OCS/ECS,"Charisma Issue No. 1, Charisma Issue No. 2",
Chart Chat,,,26.11.1988,01.12.1993,AMIGA OCS/ECS,"Chart Chat 1, Chart Chat 2, Chart Chat 3, Chart Chat 7, Chart Chat 8",
Chartari,,,01.03.2011,06.03.2011,"ATARI 8 BIT, Atari XL/XE",Chartari #1,
Chartbusters,English,,,,Commodore 64,"Chartbusters #01 (19xx)(Civitas), Chartbusters #02 (19xx)(Civitas), Chartbusters #03 (19xx)(Civitas)",
Chartmania,English,,01.01.1990,01.03.1990,Commodore 64,"Chart Mania #1 (1990 03 19)(Rizing), Chart Mania #2 (1990 04)(Rizing), Chartmania #1, Chartmania #2, Chartmania #3, Chartmania #4, Chartmania #5",
Charts,English,,01.01.1991,01.01.1991,Commodore 64,Charts #0,
Charts of,,,22.02.1995,22.02.1995,Commodore 64,Charts of 1987,
Cheat,Russian,Russia,01.02.1998,01.10.1998,ZX Spectrum,"Cheat #01, Cheat #03 demo, Cheat #2,5",
Cheat Magazine,English,,01.01.1988,01.12.1988,Commodore 64,Cheat Magazine #2,
Cheat Power,English,,01.01.1989,01.01.1989,Commodore 64,Cheat Power #0,
Cheese,,,01.01.1996,01.07.1997,"MS-DOS, MS-Dos/gus","Cheese #02, Cheese #03, Cheese #05, Cheese #06, Cheese #07, Cheese #08, Cheese #09, Cheese #1, Cheese #10, Cheese #11, Cheese #12, Cheese #13",
Chip'O'Matic,,,01.03.1994,01.03.1994,AMIGA OCS/ECS,Chip'O'Matic #1,
Chipmania and friends,,,01.06.1994,01.06.1994,AMIGA AGA,Chipmania and friends #1,
Chit Chat,English,,01.01.1991,02.04.1995,"AMIGA OCS/ECS, Commodore 64, AMIGA AGA","Chit Chat #1, Chit Chat #2, Chit Chat #3, Chit Chat #4, Chit Chat #5, Chit Chat #6, Chit Chat #7 (1995 05 27)(No Name)(da)[h MacGyver], Chit Chat 1, Chit Chat 10, Chit Chat 11, Chit Chat 12, Chit Chat 13, Chit Chat 14, Chit Chat 15, Chit Chat 2, Chit Chat 3, Chit Chat 4, Chit Chat 5, Chit Chat 6, Chit Chat 7, Chit Chat 8, Chit Chat 9",
Chit-Chat,,,01.11.1991,01.11.1991,AMIGA,Chit-Chat #2,
Chocolate,English,,01.01.1991,01.01.1991,Commodore 64,"Chocolate #01, Chocolate #02, Chocolate #03",
Chomp News,English,,,,Commodore 64,Chomp News #1 (1995)( ),
Chosneck,,,01.01.2002,08.03.2004,ATARI FALCON,"Chosneck #1, Chosneck #2, Chosneck #3",
Chosneck Supplement (Episode FIVE),,,01.05.2006,08.05.2006,ATARI FALCON,Chosneck Supplement (Episode FIVE),
Chrome Preview,,,01.01.1990,01.01.1990,Commodore 64,Chrome Preview,
Chronix 1,,,01.01.1993,01.01.1993,Commodore 64,Chronix 1,
Chuck It,English,,,,Commodore 64,Chuck It (19xx)(Triad),
Chudo,Russian,Belarus,,,ZX Spectrum,Chudo #02,
Church ST Disk,,,08.05.2006,08.05.2006,ATARI ST/E,Church ST Disk 1,
Ciabah,English,,01.01.1991,01.01.1992,Commodore 64,"Ciabah #1, Ciabah #2, Ciabah #3, Ciabah #4 & #5, Ciabah #7",
CIP ST Ausgabe 3.0 (Februar 1988),,,08.05.2006,08.05.2006,ATARI ST/E,CIP ST Ausgabe 3.0 (Februar 1988),
City,Russian,Russia,06.03.1999,14.05.2001,ZX Spectrum,"City #01, City #02, City #03, City #04, City #05, City #06, City #07, City #08, City #09, City #10, City #11, City #12, City #13, City #14, City #15, City #16, City #17, City #18, City #19, City #20, City #21, City #22, City #23, City #24, City #25, City #26, City #27, City #28, City #29, City #30, City #31, City #32, City #33, City #34, City #35, City #36, City #37, City #38, City #39, City #40, City #41, City #42, City #43, City #44, City #45, City #46, City #47, City #48, City #49, City #50, City #51, City #52, City #53",
City,Russian,Belarus,08.03.1998,13.04.1998,ZX Spectrum,"City #01, City #02",
City Of The Lost Children Review,,,06.05.1997,06.05.1997,MS-DOS,City Of The Lost Children Review,
Clash Of Steel Review,,,04.07.1993,04.07.1993,MS-DOS,Clash Of Steel Review,
Classic,,,04.07.1993,29.07.1996,MS-DOS,"Classic 1, Classic 2",
Classic,English,,01.01.1993,01.01.1993,Commodore 64,"Classic #1, Classic #2, Classic #3",
Classifieds issue,,,29.07.1996,29.07.1996,AMIGA OCS/ECS,Classifieds issue 1,
Classifieds Up-Dater,,,26.08.1991,26.08.1991,AMIGA OCS/ECS,Classifieds Up-Dater,
CLi,,,26.08.1991,26.08.1991,MS-DOS,"CLi #1, CLi #33",
Clime,Russian,Russia,02.03.1998,25.07.1998,ZX Spectrum,"Clime #01, Clime #02, Clime #03",
"CLOSED LETTER FOR ""STEP""",,,01.01.1996,26.10.2019,ZX Spectrum,"CLOSED LETTER FOR ""STEP""",
Clubdiskette 01/1995,,,08.01.1995,08.01.1995,ATARI ST/E,Clubdiskette 01/1995,
Code Mag,English,,01.01.1991,01.01.1992,Commodore 64,"Code Mag #01, Code Mag #02, Code Mag #03, Code Mag #04, Code Mag #05, Codemag #2 (19xx)(The Force), Codemag #3 (1991)(The Force), Codemag #4 (1991)(The Force), Codemag #5 (1992)(The Force)",
Code Monitor,English,,01.10.1990,01.10.1990,Commodore 64,Code Monitor 4,
Code Monitor 4,English,,01.01.1990,01.01.1990,Commodore 64,Code Monitor 4,
Code Monitor 6,English,,01.01.1990,01.01.1990,Commodore 64,"Code Monitor 4 (1990 10 15)(Ministry of Fear), Code Monitor 6",
Codemania,Russian,Belarus,31.12.1999,31.12.1999,ZX Spectrum,Codemania #01,
Coders Paradise,,,08.01.1995,08.01.1995,AMSTRAD CPC,"Coders Paradise #1, Coders Paradise #2",
Coders Scene Magazine,,,01.08.1990,08.01.1995,AMIGA OCS/ECS,"Coders Scene Magazine 1, Coders Scene Magazine 2, Coders Scene Magazine 3, Coders Scene Magazine 4, Coders Scene Magazine 5",
Coders World 1,English,,01.01.1991,01.01.1991,Commodore 64,"Coders World #2 (1991)(Forces of Evil), Coders World #3 (1991)(Forces of Evil), Coders World 1",
Coders World 2,English,,01.01.1991,01.01.1991,Commodore 64,"Coders World #1 (1991)(Forces of Evil), Coders World #3 (1991)(Forces of Evil), Coders World 2",
Coders World 3,English,,01.01.1991,01.01.1991,Commodore 64,"Coders World #1 (1991)(Forces of Evil), Coders World #2 (1991)(Forces of Evil), Coders World 3",
Coders World News,,,01.01.1994,01.01.1994,Commodore 64,Coders World News,
Coders World News File,English,,,,Commodore 64,Coders World News File (19xx)(Forces of Evil),
Coders-Disk -,,,01.09.1994,01.09.1994,AMIGA AGA,Coders-Disk - Issue #001,
Coderz Hack/Phreak Magazine,,,,,Commodore 64,Coderz Hack/Phreak Magazine #2,
Coderz HP,English,,,,Commodore 64,Coderz HP #02 (19xx)(C0derz),
Cognomen,,,15.01.1991,15.01.1991,AMIGA AGA,Cognomen 0,
Coin News,English,,,,Commodore 64,Coin News #1 (1990)(Coin),
Collapse,English,,15.01.1991,01.01.1997,Commodore 64,"Collapse #1, Collapse #1 Gold, Collapse #2, Collapse #4, Collapse #5, Collapse 3",
Collapse Gold,English,,01.09.1996,01.09.1996,Commodore 64,"Collapse Gold, Collapse Gold #1 (1996 09 09)(Coma)",
Colony News,English,,01.01.1996,01.11.1999,Commodore 64,"Colony News #1, Colony News #1 [hungarian], Colony News #2, Colony News #2 [hungarian], Colony News #3, Colony News #3 [hungarian], Colony News #4, Colony News #4 [hungarian], Colony News #5, Colony News #5 [hungarian], Colony News #6, Colony News #6 [hungarian], Colony News #7, Colony News #8",
Colony News [HUN],,,01.02.1996,03.08.1997,Commodore 64,"Colony News [HUN] 1, Colony News [HUN] 2, Colony News [HUN] 3, Colony News [HUN] 4, Colony News [HUN] 5, Colony News [HUN] 6",
Colony News English,,,04.08.1997,22.06.1999,Commodore 64,"Colony News English 1, Colony News English 2, Colony News English 3, Colony News English 4, Colony News English 5, Colony News English 6, Colony News English 7",
Columbia,English,,01.01.1994,01.01.1994,Commodore 64,"Columbia, Columbia #1 (1994)(Cobain)",
Com64 Live,English,,,,Commodore 64,"Com64 Live #1 (19xx)( )(Side A), Com64 Live #2 (19xx)( )(Side A)",
Coma,,,28.06.1996,10.10.1998,AMIGA OCS/ECS,"Coma 1, Coma 2, Coma 3, Coma 4, Coma 5",
Coma,,,,,Commodore 64,Coma #1,
Coma Issue,,,10.10.1998,10.10.1998,ATARI ST/E,"Coma Issue 1, Coma Issue 2, Coma Issue 3, Coma Issue 4, Coma Issue 5, Coma Issue 6, Coma Issue 7, Coma Issue 8",
Coma – 3rd Anniversary,,,10.10.1998,10.10.1998,ATARI ST/E,Coma – 3rd Anniversary,
Coma – Coverdisk,,,10.10.1998,10.10.1998,ATARI ST/E,Coma – Coverdisk,
Coma – Summary 92-93,,,10.10.1998,10.10.1998,ATARI ST/E,Coma – Summary 92-93,
Comanche 3 Review,,,15.04.1997,15.04.1997,MS-DOS,Comanche 3 Review,
Comic Relief,English,,01.01.1994,01.01.1994,Commodore 64,"Comic Relief #1, Comic Relief #2, Comic Relief #3",
Comix One,,,13.05.1994,13.05.1994,AMIGA OCS/ECS,Comix One,
Commodore 64 Directory,,,01.01.1995,01.01.1995,Commodore 64,Commodore 64 Directory,
Commodore CEE Vol.,English,,,,Commodore 64,"Commodore CEE Vol. 1 Issue #05 (1995)(Jack Vander White)(Disk 1 of 3 Side A), Commodore CEE Vol. 1 Issue #06 (1995)(Jack Vander White)(Disk 1 of 3 Side A)",
Commodore Computer Club,English,,,,Commodore 64,Commodore Computer Club #13 (19xx)( )(es),
Commodore Disc,English,,,,Commodore 64,"Commodore Disc #01 (19xx)( )(de), Commodore Disc #02 (19xx)( )(de), Commodore Disc #03 (19xx)( )(de), Commodore Disc #04 (19xx)( )(de), Commodore Disc #05 (19xx)( )(de), Commodore Disc #06 (19xx)( )(de), Commodore Disc #07 (19xx)( )(de), Commodore Disc #08 (19xx)( )(de), Commodore Disc #09 (19xx)( )(de), Commodore Disc #10 (19xx)( )(de), Commodore Disc #11 (19xx)( )(de), Commodore Disc #12 (19xx)( )(de), Commodore Disc #13 (19xx)( )(de), Commodore Disc #14 (19xx)( )(de), Commodore Disc #15 (19xx)( )(de), Commodore Disc #16 (19xx)( )(de), Commodore Disc #17 (19xx)( )(de), Commodore Disc #18 (19xx)( )(de), Commodore Disc #19 (19xx)( )(de), Commodore Disc #20 (19xx)( )(de), Commodore Disc #21 (19xx)( )(de), Commodore Disc #22 (19xx)( )(de), Commodore Disc #23 (19xx)( )(de), Commodore Disc #24 (19xx)( )(de), Commodore Disc #25 (19xx)( )(de), Commodore Disc #26 (19xx)( )(de), Commodore Disc #27 (19xx)( )(de), Commodore Disc #28 (19xx)( )(de), Commodore Disc #29 (19xx)( )(de), Commodore Disc #30 (19xx)( )(de), Commodore Disc #31 (19xx)( )(de), Commodore Disc #32 (19xx)( )(de), Commodore Disc #33 (19xx)( )(de), Commodore Disc #34 (19xx)( )(de), Commodore Disc #35 (19xx)( )(de), Commodore Disc #36 (19xx)( )(de), Commodore Disc #37 (19xx)( )(de), Commodore Disc #38 (19xx)( )(de), Commodore Disc #39 (19xx)( )(de), Commodore Disc #40 (19xx)( )(de), Commodore Disc #41 (19xx)( )(de), Commodore Disc #42 (19xx)( )(de), Commodore Disc #43 (19xx)( )(de), Commodore Disc #44 (19xx)( )(de), Commodore Disc #45 (19xx)( )(de), Commodore Disc #46 (19xx)( )(de), Commodore Disc #47 (19xx)( )(de), Commodore Disc #48 (19xx)( )(de), Commodore Disc #49 (19xx)( )(de), Commodore Disc #50 (19xx)( )(de), Commodore Disc #51 (19xx)( )(de), Commodore Disc #52 (19xx)( )(de), Commodore Disc #53 (19xx)( )(de), Commodore Disc #54 (19xx)( )(de), Commodore Disc #55 (19xx)( )(de), Commodore Disc #56 (19xx)( )(de), Commodore Disc #57 (19xx)( )(de)",
Commodore Disk User Catalogue,English,,,,Commodore 64,Commodore Disk User Catalogue (19xx)( ),
Commodore Disk User Vol.1,English,,,,Commodore 64,"Commodore Disk User Vol.1 #1 (1987)( ), Commodore Disk User Vol.1 #2 (1988)( ), Commodore Disk User Vol.1 #3 (1988)( ), Commodore Disk User Vol.1 #4 (1988)( ), Commodore Disk User Vol.1 #5 (1988)( ), Commodore Disk User Vol.1 #6 (1988)( )",
Commodore Disk User Vol.2,English,,,,Commodore 64,"Commodore Disk User Vol.2 #1 (1988)( ), Commodore Disk User Vol.2 #2 (1989)( )(Side A), Commodore Disk User Vol.2 #2 (1989)( )(Side B), Commodore Disk User Vol.2 #3 (1989)( )(Side A), Commodore Disk User Vol.2 #3 (1989)( )(Side B), Commodore Disk User Vol.2 #4 (1989)( ), Commodore Disk User Vol.2 #5 (1989)( ), Commodore Disk User Vol.2 #6 (1989)( )",
Commodore Disk User Vol.3,English,,,,Commodore 64,"Commodore Disk User Vol.3 #1 (1989)( ), Commodore Disk User Vol.3 #10 (1990)( ), Commodore Disk User Vol.3 #11 (1990)( ), Commodore Disk User Vol.3 #12 (1990)( ), Commodore Disk User Vol.3 #2 (1989)( ), Commodore Disk User Vol.3 #3 (1990)( ), Commodore Disk User Vol.3 #4 (1990)( ), Commodore Disk User Vol.3 #5 (1990)( ), Commodore Disk User Vol.3 #6 (1990)( ), Commodore Disk User Vol.3 #7 (1990)( ), Commodore Disk User Vol.3 #8 (1990)( ), Commodore Disk User Vol.3 #9 (1990)( )",
Commodore Disk User Vol.4,English,,,,Commodore 64,"Commodore Disk User Vol.4 #1 (1990)( ), Commodore Disk User Vol.4 #10 (1991)( ), Commodore Disk User Vol.4 #11 (1991)( ), Commodore Disk User Vol.4 #12 (1991)( ), Commodore Disk User Vol.4 #2 (1990)( ), Commodore Disk User Vol.4 #3 (1991)( ), Commodore Disk User Vol.4 #4 (1991)( ), Commodore Disk User Vol.4 #5 (1991)( ), Commodore Disk User Vol.4 #6 (1991)( ), Commodore Disk User Vol.4 #7 (1991)( ), Commodore Disk User Vol.4 #8 (1991)( ), Commodore Disk User Vol.4 #9 (1991)( )(Side A), Commodore Disk User Vol.4 #9 (1991)( )(Side B)",
Commodore Dossier,English,,,,Commodore 64,Commodore Dossier 1 (2008 05 29)(WiseGuy Industries 2015),
Commodore Dossier Label Assembler,English,,,,Commodore 64,Commodore Dossier Label Assembler (2008 05 26)(WiseGuy Industries 2015),
Commodore Format PowerPacks,English,,,,Commodore 64,"Commodore Format PowerPacks, The #01 (19xx)(Future)(GB), The #02 (19xx)(Future)(GB), The #03 (19xx)(Future)(GB), The #04 (1991)(Future)(GB), The #05 (19xx)(Future)(GB), The #06 (1991)(Future)(GB), The #07 (19xx)(Future)(GB), The #08 (1991)(Future)(GB), The #09 (1991)(Future)(GB), The #10 (19xx)(Future)(GB), The #11 (1991)(Future)(GB), The #12 (1991)(Future)(GB), The #13 (1991)(Future)(GB), The #14 (1991)(Future)(GB), The #15 (1991)(Future)(GB), The #16 (1992)(Future)(GB), The #17 (1992)(Future)(GB), The #18 (1992)(Future)(GB), The #19 (1992)(Future)(GB), The #20 (1992)(Future)(GB), The #21 (1992)(Future)(GB), The #22 (1992)(Future)(GB), The #23 (1992)(Future)(GB), The #24 (1992)(Future)(GB), The #25 (1992)(Future)(GB)(Side A), The #25 (1992)(Future)(GB)(Side B), The #26 (1992)(Future)(GB), The #27 (1992)(Future)(GB), The #28 (1992)(Future)(GB), The #29 (1993)(Future)(GB), The #30 (19xx)(Future)(GB), The #31 (19xx)(Future)(GB), The #32 (19xx)(Future)(GB), The #33 (19xx)(Future)(GB), The #34 (19xx)(Future)(GB), The #35 (19xx)(Future)(GB), The #36 (19xx)(Future)(GB), The #37 (19xx)(Future)(GB)(Side A), The #37 (19xx)(Future)(GB)(Side B), The #38 (19xx)(Future)(GB), The #39 (19xx)(Future)(GB), The #40 (19xx)(Future)(GB), The #41 (19xx)(Future)(GB), The #42 (1994)(Future)(GB)(Side A), The #42 (1994)(Future)(GB)(Side B)",
Commodore Free,English,,01.01.2012,01.01.2014,Commodore 64,"Commodore Free #63, Commodore Free #76, Commodore Free #84, Commodore Free Issue #04 (2007)(Commodore Computer Club), Commodore Free Issue #05 (2007)(Commodore Computer Club), Commodore Free Issue #06 (2007)(Commodore Computer Club), Commodore Free Issue #07 (2007)(Commodore Computer Club), Commodore Free Issue #08 (2007)(Commodore Computer Club), Commodore Free Issue #09 (2007)(Commodore Computer Club), Commodore Free Issue #10 (2007)(Commodore Computer Club), Commodore Free Issue #11 (2007)(Commodore Computer Club), Commodore Free Issue #12 (2007)(Commodore Computer Club), Commodore Free Issue #13 (2007)(Commodore Computer Club), Commodore Free Issue #14 (2007)(Commodore Computer Club), Commodore Free Issue #15 (2008)(Commodore Computer Club), Commodore Free Issue #16 (2008)(Commodore Computer Club), Commodore Free Issue #17 (2008)(Commodore Computer Club), Commodore Free Issue #18 (2008)(Commodore Computer Club), Commodore Free Issue #19 (2008)(Commodore Computer Club), Commodore Free Issue #20 (2008)(Commodore Computer Club), Commodore Free Issue #21 (2008)(Commodore Computer Club), Commodore Free Issue #22 (2008)(Commodore Computer Club), Commodore Free Issue #23 (2008)(Commodore Computer Club), Commodore Free Issue #24 (2008)(Commodore Computer Club), Commodore Free Issue #25 (2008)(Commodore Computer Club), Commodore Free Issue #26 (2009)(Commodore Computer Club), Commodore Free Issue #27 (2009)(Commodore Computer Club), Commodore Free Issue #28 (2009)(Commodore Computer Club), Commodore Free Issue #29 (2009)(Commodore Computer Club), Commodore Free Issue #30 (2009)(Commodore Computer Club), Commodore Free Issue #31 (2009)(Commodore Computer Club), Commodore Free Issue #32 (2009)(Commodore Computer Club), Commodore Free Issue #33R1 (2009)(Commodore Computer Club), Commodore Free Issue #34 (2009)(Commodore Computer Club), Commodore Free Issue #35 (2009)(Commodore Computer Club), Commodore Free Issue #36 (2010)(Commodore Computer Club), Commodore Free Issue #37 (2010)(Commodore Computer Club), Commodore Free Issue #38 (2010)(Commodore Computer Club), Commodore Free Issue #39 (2010)(Commodore Computer Club), Commodore Free Issue #40 (2010)(Commodore Computer Club)",
Commodore News,,,01.01.1990,01.01.1993,Commodore 64,"Commodore News #1, Commodore News #10, Commodore News #2, Commodore News #3, Commodore News #4, Commodore News #5, Commodore News #6, Commodore News #7, Commodore News #8, Commodore News #9",
Commodore Scene,English,,,,Commodore 64,"Commodore Scene #16 (1996)(CS Productions Xlcus)(Side A), Commodore Scene #17 (1996)(CS Productions)(Side A), Commodore Scene 97 01 (1997)(CS Productions Xlcus)(Side A)",
Commodore Scene CoverDisk,English,,01.01.1996,01.01.2006,Commodore 64,"Commodore Scene CoverDisk #001, Commodore Scene CoverDisk #0011, Commodore Scene CoverDisk #0012, Commodore Scene CoverDisk #0014, Commodore Scene CoverDisk #0015, Commodore Scene CoverDisk #0016, Commodore Scene CoverDisk #0017, Commodore Scene CoverDisk #0018, Commodore Scene CoverDisk #0019, Commodore Scene CoverDisk #0020, Commodore Scene CoverDisk #0051",
Companions Of Xanth Review,,,14.11.1993,14.11.1993,MS-DOS,Companions Of Xanth Review,
Compass,,,14.11.1993,01.02.1994,AMIGA OCS/ECS,Compass 1,
Competition,English,,01.01.1992,01.01.1992,Commodore 64,Competition #001,
