issue,title,platform,group,release,release_converted,link,download_links,external_download_links
"""Real Version"", Sex'n'Crime #05","Sex'n'Crime, Sex 'n' Crime",Commodore 64,Amok,July 1989,01.07.1989,https://csdb.dk//release/?id=188262,http://csdb.dk/getinternalfile.php/195705/Sex-n-Crime-5-with-note-AMOK.d64,http://ftp.pokefinder.org/index.php?s=SexnCrime%2005&sourceid=csdb
"...and it did seem it never would happen!, Nitro #26",Nitro,Commodore 64,Excess,4 August 2019,04.08.2019,https://csdb.dk//release/?id=180335,http://csdb.dk/getinternalfile.php/186911/Nitro #26 Final by ExCeSs.d64,http://ftp.pokefinder.org/index.php?s=Nitro%2026&sourceid=csdb
"1 Year Edition, Trashnews #10",Trashnews,Commodore 64,Climax,February 1991,01.02.1991,https://csdb.dk//release/?id=7154,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Trash_News/Trash_News_10.zip, http://csdb.dk/getinternalfile.php/52446/Trashnews #10.D64",http://ftp.pokefinder.org/index.php?s=Trashnews%2010&sourceid=csdb
"1 Year Tiger-Disk, One Year Tiger-Disk","1 Year Tiger-Disk, One Year Tiger-Disk",Commodore 64,Tiger-Crew,1995,01.01.1995,https://csdb.dk//release/?id=79905,http://csdb.dk/getinternalfile.php/76243/tigerdisk_1year.zip,http://ftp.pokefinder.org/index.php?s=One%20Year%20TigerDisk&sourceid=csdb
"2 Years Tiger-Disk, Two Years Tiger-Disk","2 Years Tiger-Disk, Two Years Tiger-Disk",Commodore 64,Tiger-Crew,,,https://csdb.dk//release/?id=79906,http://csdb.dk/getinternalfile.php/76244/tigerdisk_2years.zip,http://ftp.pokefinder.org/index.php?s=Two%20Years%20TigerDisk&sourceid=csdb
"2 Years, Chaotic Country #9 [hungarian]","2 Years, Chaotic Country #9 [hungarian]",Commodore 64,Therapy,February 1995,01.02.1995,https://csdb.dk//release/?id=150869,http://csdb.dk/getinternalfile.php/152196/CC9.zip,http://ftp.pokefinder.org/index.php?s=Chaotic%20Country%209%20hungarian&sourceid=csdb
3 Years APS,3 Years APS,Commodore 64,The Art Project Studios,8 April 1996,08.04.1996,https://csdb.dk//release/?id=3320,http://csdb.dk/getinternalfile.php/3848/3 Years APS.zip,http://ftp.pokefinder.org/index.php?s=3%20Years%20APS&sourceid=csdb
"3 Years Tiger-Disk, Three Years Tiger-Disk","3 Years Tiger-Disk, Three Years Tiger-Disk",Commodore 64,Tiger-Crew,March 1997,01.03.1997,https://csdb.dk//release/?id=79907,http://csdb.dk/getinternalfile.php/76245/tigerdisk_3years.zip,http://ftp.pokefinder.org/index.php?s=Three%20Years%20TigerDisk&sourceid=csdb
"4 Years Tiger-Disk, Four Years Tiger-Disk","4 Years Tiger-Disk, Four Years Tiger-Disk",Commodore 64,Tiger-Crew,1998,01.01.1998,https://csdb.dk//release/?id=79908,http://csdb.dk/getinternalfile.php/76246/tigerdisk_4years.zip,http://ftp.pokefinder.org/index.php?s=Four%20Years%20TigerDisk&sourceid=csdb
64'er-Disc 01/90,64'er-Disc,Commodore 64,The New Fashion '77,1990,01.01.1990,https://csdb.dk//release/?id=213019,https://csdb.dk/getinternalfile.php/223470/64er01-90-TheNewFashion.d64.zip,http://ftp.pokefinder.org/index.php?s=64erDisc%200190&sourceid=csdb
6510 Madness Preview,6510 Madness Preview,Commodore 64,"Falcon, Solar",August 1989,01.08.1989,https://csdb.dk//release/?id=138161,http://csdb.dk/getinternalfile.php/138159/6510M.d64,http://ftp.pokefinder.org/index.php?s=6510%20Madness%20Preview&sourceid=csdb
7Up #001,7Up,Commodore 64,TERA,March 1990,01.03.1990,https://csdb.dk//release/?id=64855,http://csdb.dk/getinternalfile.php/56918/7Up#001.d64,http://ftp.pokefinder.org/index.php?s=7Up%20001&sourceid=csdb
7Up #002,7Up,Commodore 64,TERA,April 1990,01.04.1990,https://csdb.dk//release/?id=45063,http://csdb.dk/getinternalfile.php/36022/7UP#002_____HEX.d64,http://ftp.pokefinder.org/index.php?s=7Up%20002&sourceid=csdb
7Up #003,7Up,Commodore 64,Warriors of the Wasteland,June 1990,01.06.1990,https://csdb.dk//release/?id=50770,http://csdb.dk/getinternalfile.php/42265/7UP#003_____WOW.T64,http://ftp.pokefinder.org/index.php?s=7Up%20003&sourceid=csdb
"7UP No.4, 7UP #004",7Up,Commodore 64,Warriors of the Wasteland,August 1990,01.08.1990,https://csdb.dk//release/?id=175758,http://csdb.dk/getinternalfile.php/179694/7up #004 [WOW].d64,http://ftp.pokefinder.org/index.php?s=7UP%20004&sourceid=csdb
"A Light Edition for Summer Relaxation, Vandalism News #47",Vandalism News,Commodore 64,"Onslaught, Vandalism News Staff, Wrath Designs",16 July 2006,16.07.2006,https://csdb.dk//release/?id=36213,http://csdb.dk/getinternalfile.php/25904/Vandalism_News_47.zip,http://ftp.pokefinder.org/index.php?s=Vandalism%20News%2047&sourceid=csdb
"A Midsummer Night's Dream, Nordic Scene Review #2",Nordic Scene Review,Commodore 64,,13 July 2005,13.07.2005,https://csdb.dk//release/?id=18556,http://csdb.dk/getinternalfile.php/6624/NSR#02.zip,http://ftp.pokefinder.org/index.php?s=Nordic%20Scene%20Review%202&sourceid=csdb
"A-Head #5, A-Head #C",A-Head,Commodore 64,"Desert Nomads, Trance",September 1994,01.09.1994,https://csdb.dk//release/?id=5147,http://csdb.dk/getinternalfile.php/59136/A-head_#C_(1994-09)(Desert_Nomads).zip,http://ftp.pokefinder.org/index.php?s=AHead%20C&sourceid=csdb
Absolute Beginners Guide #3,Absolute Beginners Guide,Commodore 64,Ratgang,1991,01.01.1991,https://csdb.dk//release/?id=99861,http://csdb.dk/getinternalfile.php/97298/absolutebeginnersguide03.d64,http://ftp.pokefinder.org/index.php?s=Absolute%20Beginners%20Guide%203&sourceid=csdb
Access #02,Access,Commodore 64,Ministry of Fear,January 1991,01.01.1991,https://csdb.dk//release/?id=32558,http://csdb.dk/getinternalfile.php/21546/Access2.zip,http://ftp.pokefinder.org/index.php?s=Access%2002&sourceid=csdb
Action News #1,Action News,Commodore 64,,September 1989,01.09.1989,https://csdb.dk//release/?id=29992,http://csdb.dk/getinternalfile.php/18810/actionnews01.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%201&sourceid=csdb
Action News #2,Action News,Commodore 64,,November 1989,01.11.1989,https://csdb.dk//release/?id=15492,http://csdb.dk/getinternalfile.php/16456/actionnews02.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%202&sourceid=csdb
Action News #3,Action News,Commodore 64,,December 1989,01.12.1989,https://csdb.dk//release/?id=15493,http://csdb.dk/getinternalfile.php/16457/actionnews03.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%203&sourceid=csdb
Action News #4,Action News,Commodore 64,,January 1990,01.01.1990,https://csdb.dk//release/?id=15494,http://csdb.dk/getinternalfile.php/16458/actionnews04.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%204&sourceid=csdb
Action News #5,Action News,Commodore 64,,9 March 1990,09.03.1990,https://csdb.dk//release/?id=15495,http://csdb.dk/getinternalfile.php/130219/Action_News_05.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%205&sourceid=csdb
Action News #6,Action News,Commodore 64,,April 1990,01.04.1990,https://csdb.dk//release/?id=5763,http://csdb.dk/getinternalfile.php/48404/actionnews06.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%206&sourceid=csdb
Action News #8,Action News,Commodore 64,,1990,01.01.1990,https://csdb.dk//release/?id=27817,http://csdb.dk/getinternalfile.php/16460/actionnews08.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%208&sourceid=csdb
Action News #9,Action News,Commodore 64,Spherical Designs,February 1991,01.02.1991,https://csdb.dk//release/?id=5764,http://csdb.dk/getinternalfile.php/130218/Action_News_09-Spherical_Designs.zip,http://ftp.pokefinder.org/index.php?s=Action%20News%209&sourceid=csdb
Addresses #1,Addresses,Commodore 64,The Foxfire Crew,1990,01.01.1990,https://csdb.dk//release/?id=37252,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_01.TFC.zip, http://csdb.dk/getinternalfile.php/57646/Addresses_01.TFC.zip",http://ftp.pokefinder.org/index.php?s=Addresses%201&sourceid=csdb
Addresses #2,Addresses,Commodore 64,Manowar,April 1990,01.04.1990,https://csdb.dk//release/?id=37253,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_02.zip, http://csdb.dk/getinternalfile.php/53338/Addresses #2.D64",http://ftp.pokefinder.org/index.php?s=Addresses%202&sourceid=csdb
Addresses #3,Addresses,Commodore 64,Manowar,21 April 1990,21.04.1990,https://csdb.dk//release/?id=21855,http://csdb.dk/getinternalfile.php/9805/ADDRESSES3.zip,http://ftp.pokefinder.org/index.php?s=Addresses%203&sourceid=csdb
Addresses #4,Addresses,Commodore 64,Ruthless,23 July 1990,23.07.1990,https://csdb.dk//release/?id=21497,http://csdb.dk/getinternalfile.php/47337/Addresses_04.zip,http://ftp.pokefinder.org/index.php?s=Addresses%204&sourceid=csdb
Addresses #5,Addresses,Commodore 64,Ruthless,23 February 1991,23.02.1991,https://csdb.dk//release/?id=37254,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addresses/Addresses_05.zip, http://csdb.dk/getinternalfile.php/51725/ADDRESSES_05-R-.T64",http://ftp.pokefinder.org/index.php?s=Addresses%205&sourceid=csdb
Addy Burger #01,"Addy Burger, Addyburger",Commodore 64,The Guards,21 July 1990,21.07.1990,https://csdb.dk//release/?id=29994,http://csdb.dk/getinternalfile.php/18812/addyburger01.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2001&sourceid=csdb
Addy Burger #02,"Addy Burger, Addyburger",Commodore 64,Trans-X,18 August 1990,18.08.1990,https://csdb.dk//release/?id=45555,http://csdb.dk/getinternalfile.php/36567/Addy Burger #02.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2002&sourceid=csdb
Addy Burger #03,"Addy Burger, Addyburger",Commodore 64,Trans-X,September 1990,01.09.1990,https://csdb.dk//release/?id=53110,http://csdb.dk/getinternalfile.php/44728/Addy Burger #03.d64,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2003&sourceid=csdb
Addy Burger #04,"Addy Burger, Addyburger",Commodore 64,Trans-X,October 1990,01.10.1990,https://csdb.dk//release/?id=29996,http://csdb.dk/getinternalfile.php/18814/addyburger04.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2004&sourceid=csdb
Addy Burger #05,"Addy Burger, Addyburger",Commodore 64,Trans-X,1990,01.01.1990,https://csdb.dk//release/?id=29998,http://csdb.dk/getinternalfile.php/18816/addyburger05.zip,http://ftp.pokefinder.org/index.php?s=Addy%20Burger%2005&sourceid=csdb
Addy Collection,Addy Collection,Commodore 64,Xenon,August 1994,01.08.1994,https://csdb.dk//release/?id=124916,http://csdb.dk/getinternalfile.php/123638/009A.D64,http://ftp.pokefinder.org/index.php?s=Addy%20Collection&sourceid=csdb
Addybook #1,Addybook,Commodore 64,Blaze,September 1991,01.09.1991,https://csdb.dk//release/?id=5148,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_01.zip, http://csdb.dk/getinternalfile.php/57645/Addybook_01.zip",http://ftp.pokefinder.org/index.php?s=Addybook%201&sourceid=csdb
Addybook #10,Addybook,Commodore 64,Blaze,5 September 1992,05.09.1992,https://csdb.dk//release/?id=10109,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_10.zip, http://csdb.dk/getinternalfile.php/57644/Addybook_10.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2010&sourceid=csdb
Addybook #11,Addybook,Commodore 64,Blaze,31 October 1992,31.10.1992,https://csdb.dk//release/?id=10110,"http://csdb.dk/getinternalfile.php/122359/addybook#11.d64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_11.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2011&sourceid=csdb
Addybook #12,Addybook,Commodore 64,Oxyron,7 February 1993,07.02.1993,https://csdb.dk//release/?id=3351,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_12[Oxyron].zip, http://csdb.dk/getinternalfile.php/57643/Addybook_12[Oxyron].zip",http://ftp.pokefinder.org/index.php?s=Addybook%2012&sourceid=csdb
Addybook #13,Addybook,Commodore 64,Oxyron,June 1993,01.06.1993,https://csdb.dk//release/?id=10111,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_13.zip, http://csdb.dk/getinternalfile.php/57853/Addybook_13.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2013&sourceid=csdb
Addybook #14,Addybook,Commodore 64,Oxyron,October 1993,01.10.1993,https://csdb.dk//release/?id=5582,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_14.zip, http://csdb.dk/getinternalfile.php/57781/Addybook_14.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2014&sourceid=csdb
Addybook #15,Addybook,Commodore 64,Oxyron,February 1994,01.02.1994,https://csdb.dk//release/?id=4738,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_15.zip, http://csdb.dk/getinternalfile.php/57786/Addybook_15.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2015&sourceid=csdb
Addybook #2,Addybook,Commodore 64,Blaze,12 October 1991,12.10.1991,https://csdb.dk//release/?id=10103,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_02.zip, http://csdb.dk/getinternalfile.php/57642/Addybook_02.zip",http://ftp.pokefinder.org/index.php?s=Addybook%202&sourceid=csdb
Addybook #3,Addybook,Commodore 64,Blaze,23 November 1991,23.11.1991,https://csdb.dk//release/?id=10104,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_03.zip, http://csdb.dk/getinternalfile.php/57641/Addybook_03.zip",http://ftp.pokefinder.org/index.php?s=Addybook%203&sourceid=csdb
Addybook #4,Addybook,Commodore 64,Blaze,23 December 1991,23.12.1991,https://csdb.dk//release/?id=5149,http://csdb.dk/getinternalfile.php/39211/Addybook_04.zip,http://ftp.pokefinder.org/index.php?s=Addybook%204&sourceid=csdb
Addybook #5,Addybook,Commodore 64,Blaze,21 January 1992,21.01.1992,https://csdb.dk//release/?id=3486,http://csdb.dk/getinternalfile.php/39210/Addybook_05.zip,http://ftp.pokefinder.org/index.php?s=Addybook%205&sourceid=csdb
Addybook #6,Addybook,Commodore 64,Blaze,26 February 1992,26.02.1992,https://csdb.dk//release/?id=10105,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_06.zip, http://csdb.dk/getinternalfile.php/57854/Addybook_06.zip",http://ftp.pokefinder.org/index.php?s=Addybook%206&sourceid=csdb
Addybook #7,Addybook,Commodore 64,Blaze,28 March 1992,28.03.1992,https://csdb.dk//release/?id=10106,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_07.zip, http://csdb.dk/getinternalfile.php/57856/Addybook_07.zip",http://ftp.pokefinder.org/index.php?s=Addybook%207&sourceid=csdb
Addybook #8,Addybook,Commodore 64,Blaze,3 May 1992,03.05.1992,https://csdb.dk//release/?id=10107,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_08.zip, http://csdb.dk/getinternalfile.php/57640/Addybook_08.zip",http://ftp.pokefinder.org/index.php?s=Addybook%208&sourceid=csdb
Addybook #9,Addybook,Commodore 64,Blaze,17 June 1992,17.06.1992,https://csdb.dk//release/?id=10108,http://csdb.dk/getinternalfile.php/57855/Addybook_09.zip,http://ftp.pokefinder.org/index.php?s=Addybook%209&sourceid=csdb
Addybook 30th Anniversary,Addybook,Commodore 64,,18 October 2021,18.10.2021,https://csdb.dk//release/?id=210679,"https://csdb.dk/getinternalfile.php/220684/Addybook 30th Anniversary.zip, https://csdb.dk/getinternalfile.php/220685/Music.zip",http://ftp.pokefinder.org/index.php?s=Addybook%2030th%20Anniversary&sourceid=csdb
Addys #1,Addys,Commodore 64,,1992,01.01.1992,https://csdb.dk//release/?id=76976,http://csdb.dk/getinternalfile.php/72588/Addys01_JAZZCAT.zip,http://ftp.pokefinder.org/index.php?s=Addys%201&sourceid=csdb
Adress Unit #2,Adress Unit,Commodore 64,Superior Maniac Madness,,,https://csdb.dk//release/?id=99862,http://csdb.dk/getinternalfile.php/97300/adress-unit02.d64,http://ftp.pokefinder.org/index.php?s=Adress%20Unit%202&sourceid=csdb
Adviser #1,Adviser,Commodore 64,Abyss Connection,28 September 1991,28.09.1991,https://csdb.dk//release/?id=17795,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adviser/Adviser_01.zip, http://csdb.dk/getinternalfile.php/31938/ADVISER_#0001AC.T64",http://ftp.pokefinder.org/index.php?s=Adviser%201&sourceid=csdb
Adviser #2,Adviser,Commodore 64,Abyss Connection,1991,01.01.1991,https://csdb.dk//release/?id=17796,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adviser/Adviser_02.zip, http://csdb.dk/getinternalfile.php/57650/Adviser_02.zip",http://ftp.pokefinder.org/index.php?s=Adviser%202&sourceid=csdb
Adviser #3,Adviser,Commodore 64,Abyss Connection,January 1992,01.01.1992,https://csdb.dk//release/?id=17797,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adviser/Adviser_03.zip, http://csdb.dk/getinternalfile.php/57649/Adviser_03.zip",http://ftp.pokefinder.org/index.php?s=Adviser%203&sourceid=csdb
Adviser Preview,Adviser,Commodore 64,Abyss Connection,1991,01.01.1991,https://csdb.dk//release/?id=208195,http://csdb.dk/getinternalfile.php/217977/AdviserPreview_AC.d64,http://ftp.pokefinder.org/index.php?s=Adviser%20Preview&sourceid=csdb
Adwarp #1,Adwarp,Commodore 64,Kreciki,8 January 1997,08.01.1997,https://csdb.dk//release/?id=97836,http://csdb.dk/getinternalfile.php/95276/Adwarp #1 - Kreciki.zip,http://ftp.pokefinder.org/index.php?s=Adwarp%201&sourceid=csdb
Adwarp #1 [english],Adwarp,Commodore 64,Kreciki,10 April 1997,10.04.1997,https://csdb.dk//release/?id=4477,"ftp://c64.rulez.org/pub/c64/Magazines/Adwarp_-english-/Adwarp_01_KRECIKI.zip, http://csdb.dk/getinternalfile.php/57887/Adwarp_01.zip",http://ftp.pokefinder.org/index.php?s=Adwarp%201%20english&sourceid=csdb
Adwarp #3,Adwarp,Commodore 64,Kreciki,25 May 1997,25.05.1997,https://csdb.dk//release/?id=93173,http://csdb.dk/getinternalfile.php/90695/Adwarp_3.zip,http://ftp.pokefinder.org/index.php?s=Adwarp%203&sourceid=csdb
Adwarp #4,Adwarp,Commodore 64,Kreciki,25 July 1997,25.07.1997,https://csdb.dk//release/?id=82312,http://csdb.dk/getinternalfile.php/78886/0413a.d64,http://ftp.pokefinder.org/index.php?s=Adwarp%204&sourceid=csdb
Adwarp #5,Adwarp,Commodore 64,Kreciki,25 August 1997,25.08.1997,https://csdb.dk//release/?id=93178,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adwarp/Adwarp_05.zip, http://csdb.dk/getinternalfile.php/91132/Adwarp_05.zip",http://ftp.pokefinder.org/index.php?s=Adwarp%205&sourceid=csdb
Adwarp #6,Adwarp,Commodore 64,Kreciki,25 October 1997,25.10.1997,https://csdb.dk//release/?id=93179,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adwarp/Adwarp_06.zip, http://csdb.dk/getinternalfile.php/91131/Adwarp_06.zip",http://ftp.pokefinder.org/index.php?s=Adwarp%206&sourceid=csdb
Adwarp #7,Adwarp,Commodore 64,Kreciki,January 1998,01.01.1998,https://csdb.dk//release/?id=93180,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adwarp/Adwarp_07.zip, http://csdb.dk/getinternalfile.php/91130/Adwarp_07.zip",http://ftp.pokefinder.org/index.php?s=Adwarp%207&sourceid=csdb
Adwarp #8,Adwarp,Commodore 64,Kreciki,1998,01.01.1998,https://csdb.dk//release/?id=93174,http://csdb.dk/getinternalfile.php/90696/Adwarp_8.zip,http://ftp.pokefinder.org/index.php?s=Adwarp%208&sourceid=csdb
Adwarp #9,Adwarp,Commodore 64,Kreciki,1999,01.01.1999,https://csdb.dk//release/?id=9971,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Adwarp/Adwarp_09.zip, http://csdb.dk/getinternalfile.php/57648/Adwarp_09.zip",http://ftp.pokefinder.org/index.php?s=Adwarp%209&sourceid=csdb
"Adwarp North Party Edition, Adwarp #2",Adwarp,Commodore 64,Kreciki,25 March 1997,25.03.1997,https://csdb.dk//release/?id=47657,http://csdb.dk/getinternalfile.php/38787/Adwarp_02.zip,http://ftp.pokefinder.org/index.php?s=Adwarp%202&sourceid=csdb
Afterlife #1,Afterlife,Commodore 64,Afterlife,10 August 2014,10.08.2014,https://csdb.dk//release/?id=133214,http://csdb.dk/getinternalfile.php/132619/afterlife1.zip,http://ftp.pokefinder.org/index.php?s=Afterlife%201&sourceid=csdb
Afterlife #10,Afterlife,Commodore 64,Afterlife,26 October 2014,26.10.2014,https://csdb.dk//release/?id=133995,http://csdb.dk/getinternalfile.php/133514/aftlife10-udi.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%2010&sourceid=csdb
Afterlife #2,Afterlife,Commodore 64,Afterlife,19 August 2014,19.08.2014,https://csdb.dk//release/?id=133829,http://csdb.dk/getinternalfile.php/133334/afterlife 2.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%202&sourceid=csdb
Afterlife #3,Afterlife,Commodore 64,Afterlife,17 August 2014,17.08.2014,https://csdb.dk//release/?id=133830,http://csdb.dk/getinternalfile.php/133335/afterlife 3.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%203&sourceid=csdb
Afterlife #4,Afterlife,Commodore 64,Afterlife,24 August 2014,24.08.2014,https://csdb.dk//release/?id=133831,http://csdb.dk/getinternalfile.php/133336/afterlife 4.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%204&sourceid=csdb
Afterlife #5,Afterlife,Commodore 64,Afterlife,7 September 2014,07.09.2014,https://csdb.dk//release/?id=133833,http://csdb.dk/getinternalfile.php/133338/afterlife 5.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%205&sourceid=csdb
Afterlife #6,Afterlife,Commodore 64,Afterlife,13 September 2014,13.09.2014,https://csdb.dk//release/?id=133834,http://csdb.dk/getinternalfile.php/133339/afterlife 6.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%206&sourceid=csdb
Afterlife #7,Afterlife,Commodore 64,Afterlife,20 September 2014,20.09.2014,https://csdb.dk//release/?id=133832,http://csdb.dk/getinternalfile.php/133337/afterlife 7.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%207&sourceid=csdb
Afterlife #8,Afterlife,Commodore 64,Afterlife,27 September 2014,27.09.2014,https://csdb.dk//release/?id=133835,http://csdb.dk/getinternalfile.php/133340/afterlife 8.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%208&sourceid=csdb
Afterlife #9,Afterlife,Commodore 64,Afterlife,19 October 2014,19.10.2014,https://csdb.dk//release/?id=133836,http://csdb.dk/getinternalfile.php/133341/afterlife 9.prg,http://ftp.pokefinder.org/index.php?s=Afterlife%209&sourceid=csdb
"Afterlife Diskmag, Afterlife #16",Afterlife,Commodore 64,"Afterlife, Underground Domain Inc.",30 December 2014,30.12.2014,https://csdb.dk//release/?id=135726,http://csdb.dk/getinternalfile.php/135342/afterlife issue 16.d64,http://ftp.pokefinder.org/index.php?s=Afterlife%2016&sourceid=csdb
"Aftermath #1, Aftermath: The Houston Sysop War",Aftermath,Commodore 64,,22 December 1992,22.12.1992,https://csdb.dk//release/?id=138190,http://csdb.dk/getinternalfile.php/138195/Aftermath.d64,http://ftp.pokefinder.org/index.php?s=Aftermath%20The%20Houston%20Sysop%20War&sourceid=csdb
Aftermath II: The Houston Sysop War Chronicle,Aftermath,Commodore 64,,30 January 1993,30.01.1993,https://csdb.dk//release/?id=166648,http://csdb.dk/getinternalfile.php/169612/aftermathii-ILC-sb184747-DemongerBox12.d64,http://ftp.pokefinder.org/index.php?s=Aftermath%20II%20The%20Houston%20Sysop%20War%20Chronicle&sourceid=csdb
Aftermath III: Houston Lives,Aftermath,Commodore 64,,7 February 1993,07.02.1993,https://csdb.dk//release/?id=156268,http://csdb.dk/getinternalfile.php/158241/Aftermath_III.D64,http://ftp.pokefinder.org/index.php?s=Aftermath%20III%20Houston%20Lives&sourceid=csdb
Aftermath IV: Times Past,Aftermath,Commodore 64,,18 March 1993,18.03.1993,https://csdb.dk//release/?id=191397,http://csdb.dk/getinternalfile.php/199099/aftermath4-Grego-138-icedisks1.d64,http://ftp.pokefinder.org/index.php?s=Aftermath%20IV%20Times%20Past&sourceid=csdb
"Ahead #1, A-Head #1","Ahead, A-Head",Commodore 64,Trance,1993,01.01.1993,https://csdb.dk//release/?id=5491,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Ahead/Ahead_01.zip, http://csdb.dk/getinternalfile.php/39217/Ahead_01.zip",http://ftp.pokefinder.org/index.php?s=AHead%201&sourceid=csdb
"Ahead #2, A-Head #2","Ahead, A-Head",Commodore 64,Trance,May 1993,01.05.1993,https://csdb.dk//release/?id=5583,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Ahead/Ahead_02.zip, http://csdb.dk/getinternalfile.php/39218/Ahead_02.zip",http://ftp.pokefinder.org/index.php?s=AHead%202&sourceid=csdb
"Ahead #3, A-Head #3","Ahead, A-Head",Commodore 64,Trance,August 1993,01.08.1993,https://csdb.dk//release/?id=5146,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Ahead/Ahead_03.zip, http://csdb.dk/getinternalfile.php/39219/Ahead_03.zip",http://ftp.pokefinder.org/index.php?s=AHead%203&sourceid=csdb
"Ahead #4, A-Head #4","Ahead, A-Head",Commodore 64,Trance,15 October 1993,15.10.1993,https://csdb.dk//release/?id=10102,"http://csdb.dk/getinternalfile.php/57920/Ahead_04.zip, http://csdb.dk/getinternalfile.php/123084/EIN1397A.D64",http://ftp.pokefinder.org/index.php?s=AHead%204&sourceid=csdb
Always #19,Always,Commodore 64,Elysium,1993,01.01.1993,https://csdb.dk//release/?id=34640,http://csdb.dk/getinternalfile.php/24014/always_19.d64.gz,http://ftp.pokefinder.org/index.php?s=Always%2019&sourceid=csdb
Always #20,Always,Commodore 64,Elysium,1993,01.01.1993,https://csdb.dk//release/?id=93207,http://csdb.dk/getinternalfile.php/90725/always_20.zip,http://ftp.pokefinder.org/index.php?s=Always%2020&sourceid=csdb
Always #21,Always,Commodore 64,Elysium,30 December 1993,30.12.1993,https://csdb.dk//release/?id=63398,"http://csdb.dk/getinternalfile.php/55327/ALWAYS21.D64, http://csdb.dk/getinternalfile.php/204811/always_#21.d64",http://ftp.pokefinder.org/index.php?s=Always%2021&sourceid=csdb
Always #22,Always,Commodore 64,Elysium,April 1994,01.04.1994,https://csdb.dk//release/?id=93208,http://csdb.dk/getinternalfile.php/90726/always_22.zip,http://ftp.pokefinder.org/index.php?s=Always%2022&sourceid=csdb
Always #24,Always,Commodore 64,"Elysium, Sunga",1995,01.01.1995,https://csdb.dk//release/?id=97880,http://csdb.dk/getinternalfile.php/95321/Always 24 - Elysium.zip,http://ftp.pokefinder.org/index.php?s=Always%2024&sourceid=csdb
Always #25,Always,Commodore 64,"Elysium, Sunga",September 1995,01.09.1995,https://csdb.dk//release/?id=97898,http://csdb.dk/getinternalfile.php/95339/Always 25 - Elysium.zip,http://ftp.pokefinder.org/index.php?s=Always%2025&sourceid=csdb
Always #26,Always,Commodore 64,Elysium,1996,01.01.1996,https://csdb.dk//release/?id=97904,http://csdb.dk/getinternalfile.php/95345/Always 26 - Elysium.zip,http://ftp.pokefinder.org/index.php?s=Always%2026&sourceid=csdb
